Cohort Year,Graduation Rate Type,LEA Entity ID,LEA Name,School Entity ID,School Name,County,Subgroup,Number Graduated,Number in Cohort,Percent Graduated in 4 Years
2022,4 Year,4158,Chinle Unified District,4737,Chinle High School,Apache,Homeless Cohort,*,*,*
2022,4 Year,4158,Chinle Unified District,4737,Chinle High School,Apache,Income Eligibility 1 and 2,*,*,*
2022,4 Year,4158,Chinle Unified District,4737,Chinle High School,Apache,Male,89,131,67.9
2022,4 Year,4158,Chinle Unified District,4737,Chinle High School,Apache,Migrant Cohort,*,*,*
2022,4 Year,4158,Chinle Unified District,4737,Chinle High School,Apache,Military Cohort,*,*,*
2022,4 Year,4158,Chinle Unified District,4737,Chinle High School,Apache,Special Education,*,*,84.8
2022,4 Year,4158,Chinle Unified District,1001800,Hozho Online Academy,Apache,All,*,*,*
2022,4 Year,4158,Chinle Unified District,1001800,Hozho Online Academy,Apache,American Indian or Alaska Native,*,*,*
2022,4 Year,4158,Chinle Unified District,1001800,Hozho Online Academy,Apache,EL Cohort,*,*,*
2022,4 Year,4158,Chinle Unified District,1001800,Hozho Online Academy,Apache,Female,*,*,*
2022,4 Year,4158,Chinle Unified District,1001800,Hozho Online Academy,Apache,Foster Care Cohort,*,*,*
2022,4 Year,4158,Chinle Unified District,1001800,Hozho Online Academy,Apache,Homeless Cohort,*,*,*
2022,4 Year,4158,Chinle Unified District,1001800,Hozho Online Academy,Apache,Income Eligibility 1 and 2,*,*,*
2022,4 Year,4158,Chinle Unified District,1001800,Hozho Online Academy,Apache,Male,*,*,*
2022,4 Year,4158,Chinle Unified District,1001800,Hozho Online Academy,Apache,Migrant Cohort,*,*,*
2022,4 Year,4158,Chinle Unified District,1001800,Hozho Online Academy,Apache,Military Cohort,*,*,*
2022,4 Year,4158,Chinle Unified District,1001800,Hozho Online Academy,Apache,Special Education,*,*,*
2022,4 Year,4159,Red Mesa Unified District,4741,Red Mesa High School,Apache,All,*,*,76.7
2022,4 Year,4159,Red Mesa Unified District,4741,Red Mesa High School,Apache,American Indian or Alaska Native,*,*,76.2
2022,4 Year,4159,Red Mesa Unified District,4741,Red Mesa High School,Apache,Black/African American,*,*,*
2022,4 Year,4159,Red Mesa Unified District,4741,Red Mesa High School,Apache,EL Cohort,*,*,88.9
2022,4 Year,4159,Red Mesa Unified District,4741,Red Mesa High School,Apache,Female,*,*,85.7
2022,4 Year,4159,Red Mesa Unified District,4741,Red Mesa High School,Apache,Foster Care Cohort,*,*,*
2022,4 Year,4159,Red Mesa Unified District,4741,Red Mesa High School,Apache,Homeless Cohort,*,*,*
2022,4 Year,4159,Red Mesa Unified District,4741,Red Mesa High School,Apache,Income Eligibility 1 and 2,*,*,85.7
2022,4 Year,4159,Red Mesa Unified District,4741,Red Mesa High School,Apache,Male,*,*,68.2
2022,4 Year,4159,Red Mesa Unified District,4741,Red Mesa High School,Apache,Migrant Cohort,*,*,*
2022,4 Year,4159,Red Mesa Unified District,4741,Red Mesa High School,Apache,Military Cohort,*,*,*
2022,4 Year,4159,Red Mesa Unified District,4741,Red Mesa High School,Apache,Special Education,*,*,77.8
2022,4 Year,4159,Red Mesa Unified District,88386,Red Valley/Cove High School,Apache,All,*,*,50
2022,4 Year,4159,Red Mesa Unified District,88386,Red Valley/Cove High School,Apache,American Indian or Alaska Native,*,*,50
2022,4 Year,4159,Red Mesa Unified District,88386,Red Valley/Cove High School,Apache,EL Cohort,*,*,*
2022,4 Year,4159,Red Mesa Unified District,88386,Red Valley/Cove High School,Apache,Female,*,*,50
2022,4 Year,4159,Red Mesa Unified District,88386,Red Valley/Cove High School,Apache,Foster Care Cohort,*,*,*
2022,4 Year,4159,Red Mesa Unified District,88386,Red Valley/Cove High School,Apache,Homeless Cohort,*,*,*
2022,4 Year,4159,Red Mesa Unified District,88386,Red Valley/Cove High School,Apache,Income Eligibility 1 and 2,*,*,80
2022,4 Year,4159,Red Mesa Unified District,88386,Red Valley/Cove High School,Apache,Male,*,*,50
2022,4 Year,4159,Red Mesa Unified District,88386,Red Valley/Cove High School,Apache,Migrant Cohort,*,*,*
2022,4 Year,4159,Red Mesa Unified District,88386,Red Valley/Cove High School,Apache,Military Cohort,*,*,*
2022,4 Year,4159,Red Mesa Unified District,88386,Red Valley/Cove High School,Apache,Special Education,*,*,*
2022,4 Year,4168,Tombstone Unified District,4751,Tombstone High School,Cochise,All,72,87,82.8
2022,4 Year,4168,Tombstone Unified District,4751,Tombstone High School,Cochise,Asian,*,*,*
2022,4 Year,4168,Tombstone Unified District,4751,Tombstone High School,Cochise,Black/African American,*,*,50
2022,4 Year,4168,Tombstone Unified District,4751,Tombstone High School,Cochise,EL Cohort,*,*,*
2022,4 Year,4168,Tombstone Unified District,4751,Tombstone High School,Cochise,Female,*,*,95.1
2022,4 Year,4168,Tombstone Unified District,4751,Tombstone High School,Cochise,Foster Care Cohort,*,*,*
2022,4 Year,4168,Tombstone Unified District,4751,Tombstone High School,Cochise,Hispanic or Latino,*,*,81.8
2022,4 Year,4168,Tombstone Unified District,4751,Tombstone High School,Cochise,Homeless Cohort,*,*,*
2022,4 Year,4168,Tombstone Unified District,4751,Tombstone High School,Cochise,Income Eligibility 1 and 2,36,47,76.6
2022,4 Year,4168,Tombstone Unified District,4751,Tombstone High School,Cochise,Male,*,*,71.7
2022,4 Year,4168,Tombstone Unified District,4751,Tombstone High School,Cochise,Migrant Cohort,*,*,*
2022,4 Year,4168,Tombstone Unified District,4751,Tombstone High School,Cochise,Military Cohort,*,*,*
2022,4 Year,4168,Tombstone Unified District,4751,Tombstone High School,Cochise,Multiple Races,*,*,*
2022,4 Year,4168,Tombstone Unified District,4751,Tombstone High School,Cochise,Native Hawaiian or Pacific Islander,*,*,50
2022,4 Year,4168,Tombstone Unified District,4751,Tombstone High School,Cochise,Special Education,*,*,57.1
2022,4 Year,4168,Tombstone Unified District,4751,Tombstone High School,Cochise,White,*,*,83.3
2022,4 Year,4169,Bisbee Unified District,4754,Bisbee High School,Cochise,All,57,83,68.7
2022,4 Year,4169,Bisbee Unified District,4754,Bisbee High School,Cochise,EL Cohort,*,*,78.6
2022,4 Year,4169,Bisbee Unified District,4754,Bisbee High School,Cochise,Female,*,*,75.8
2022,4 Year,4169,Bisbee Unified District,4754,Bisbee High School,Cochise,Foster Care Cohort,*,*,*
2022,4 Year,4169,Bisbee Unified District,4754,Bisbee High School,Cochise,Hispanic or Latino,47,62,75.8
2022,4 Year,4169,Bisbee Unified District,4754,Bisbee High School,Cochise,Homeless Cohort,*,*,*
2022,4 Year,4169,Bisbee Unified District,4754,Bisbee High School,Cochise,Income Eligibility 1 and 2,*,*,*
2022,4 Year,4169,Bisbee Unified District,4754,Bisbee High School,Cochise,Male,*,*,64
2022,4 Year,4169,Bisbee Unified District,4754,Bisbee High School,Cochise,Migrant Cohort,*,*,*
2022,4 Year,4169,Bisbee Unified District,4754,Bisbee High School,Cochise,Military Cohort,*,*,*
2022,4 Year,4169,Bisbee Unified District,4754,Bisbee High School,Cochise,Multiple Races,*,*,*
2022,4 Year,4169,Bisbee Unified District,4754,Bisbee High School,Cochise,Special Education,*,*,60
2022,4 Year,4169,Bisbee Unified District,4754,Bisbee High School,Cochise,White,*,*,53.8
2022,4 Year,4169,Bisbee Unified District,1000301,Copper Credits,Cochise,All,*,*,50
2022,4 Year,4169,Bisbee Unified District,1000301,Copper Credits,Cochise,EL Cohort,*,*,*
2022,4 Year,4169,Bisbee Unified District,1000301,Copper Credits,Cochise,Female,*,*,*
2022,4 Year,4169,Bisbee Unified District,1000301,Copper Credits,Cochise,Foster Care Cohort,*,*,*
2022,4 Year,4169,Bisbee Unified District,1000301,Copper Credits,Cochise,Hispanic or Latino,*,*,*
2022,4 Year,4169,Bisbee Unified District,1000301,Copper Credits,Cochise,Homeless Cohort,*,*,*
2022,4 Year,4169,Bisbee Unified District,1000301,Copper Credits,Cochise,Income Eligibility 1 and 2,*,*,*
2022,4 Year,4169,Bisbee Unified District,1000301,Copper Credits,Cochise,Male,*,*,*
2022,4 Year,4169,Bisbee Unified District,1000301,Copper Credits,Cochise,Migrant Cohort,*,*,*
2022,4 Year,4169,Bisbee Unified District,1000301,Copper Credits,Cochise,Military Cohort,*,*,*
2022,4 Year,4169,Bisbee Unified District,1000301,Copper Credits,Cochise,Special Education,*,*,*
2022,4 Year,4170,Willcox Unified District,4757,Willcox High School,Cochise,All,77,89,86.5
2022,4 Year,4170,Willcox Unified District,4757,Willcox High School,Cochise,Black/African American,*,*,75
2022,4 Year,4170,Willcox Unified District,4757,Willcox High School,Cochise,EL Cohort,*,*,80
2022,4 Year,4170,Willcox Unified District,4757,Willcox High School,Cochise,Female,*,*,91.7
2022,4 Year,4170,Willcox Unified District,4757,Willcox High School,Cochise,Foster Care Cohort,*,*,*
2022,4 Year,4170,Willcox Unified District,4757,Willcox High School,Cochise,Hispanic or Latino,*,*,86.3
2022,4 Year,4170,Willcox Unified District,4757,Willcox High School,Cochise,Homeless Cohort,*,*,*
2022,4 Year,4170,Willcox Unified District,4757,Willcox High School,Cochise,Income Eligibility 1 and 2,*,*,85.7
2022,4 Year,4170,Willcox Unified District,4757,Willcox High School,Cochise,Male,*,*,83
2022,4 Year,4170,Willcox Unified District,4757,Willcox High School,Cochise,Migrant Cohort,*,*,66.7
2022,4 Year,4170,Willcox Unified District,4757,Willcox High School,Cochise,Military Cohort,*,*,*
2022,4 Year,4170,Willcox Unified District,4757,Willcox High School,Cochise,Special Education,*,*,83.3
2022,4 Year,4170,Willcox Unified District,4757,Willcox High School,Cochise,White,*,*,90.9
2022,4 Year,4171,Bowie Unified District,4759,Bowie High School,Cochise,All,*,*,83.3
2022,4 Year,4171,Bowie Unified District,4759,Bowie High School,Cochise,EL Cohort,*,*,*
2022,4 Year,4171,Bowie Unified District,4759,Bowie High School,Cochise,Female,*,*,*
2022,4 Year,4171,Bowie Unified District,4759,Bowie High School,Cochise,Foster Care Cohort,*,*,*
2022,4 Year,4171,Bowie Unified District,4759,Bowie High School,Cochise,Hispanic or Latino,*,*,*
2022,4 Year,4171,Bowie Unified District,4759,Bowie High School,Cochise,Homeless Cohort,*,*,*
2022,4 Year,4171,Bowie Unified District,4759,Bowie High School,Cochise,Income Eligibility 1 and 2,*,*,*
2022,4 Year,4171,Bowie Unified District,4759,Bowie High School,Cochise,Male,*,*,66.7
2022,4 Year,4171,Bowie Unified District,4759,Bowie High School,Cochise,Migrant Cohort,*,*,*
2022,4 Year,4171,Bowie Unified District,4759,Bowie High School,Cochise,Military Cohort,*,*,*
2022,4 Year,4171,Bowie Unified District,4759,Bowie High School,Cochise,Special Education,*,*,*
2022,4 Year,4171,Bowie Unified District,4759,Bowie High School,Cochise,White,*,*,66.7
2022,4 Year,4172,San Simon Unified District,4760,San Simon School,Cochise,All,*,*,*
2022,4 Year,4172,San Simon Unified District,4760,San Simon School,Cochise,EL Cohort,*,*,*
2022,4 Year,4172,San Simon Unified District,4760,San Simon School,Cochise,Female,*,*,*
2022,4 Year,4172,San Simon Unified District,4760,San Simon School,Cochise,Foster Care Cohort,*,*,*
2022,4 Year,4172,San Simon Unified District,4760,San Simon School,Cochise,Hispanic or Latino,*,*,*
2022,4 Year,4172,San Simon Unified District,4760,San Simon School,Cochise,Homeless Cohort,*,*,*
2022,4 Year,4172,San Simon Unified District,4760,San Simon School,Cochise,Income Eligibility 1 and 2,*,*,*
2022,4 Year,4172,San Simon Unified District,4760,San Simon School,Cochise,Male,*,*,*
2022,4 Year,4172,San Simon Unified District,4760,San Simon School,Cochise,Migrant Cohort,*,*,*
2022,4 Year,4172,San Simon Unified District,4760,San Simon School,Cochise,Military Cohort,*,*,*
2022,4 Year,4172,San Simon Unified District,4760,San Simon School,Cochise,Special Education,*,*,*
2022,4 Year,4172,San Simon Unified District,4760,San Simon School,Cochise,White,*,*,*
2022,4 Year,4173,St David Unified District,4762,St David High School,Cochise,All,*,*,*
2022,4 Year,4173,St David Unified District,4762,St David High School,Cochise,EL Cohort,*,*,*
2022,4 Year,4173,St David Unified District,4762,St David High School,Cochise,Female,*,*,*
2022,4 Year,4173,St David Unified District,4762,St David High School,Cochise,Foster Care Cohort,*,*,*
2022,4 Year,4173,St David Unified District,4762,St David High School,Cochise,Hispanic or Latino,*,*,*
2022,4 Year,4173,St David Unified District,4762,St David High School,Cochise,Homeless Cohort,*,*,*
2022,4 Year,4173,St David Unified District,4762,St David High School,Cochise,Income Eligibility 1 and 2,*,*,*
2022,4 Year,4173,St David Unified District,4762,St David High School,Cochise,Male,*,*,*
2022,4 Year,4173,St David Unified District,4762,St David High School,Cochise,Migrant Cohort,*,*,*
2022,4 Year,4173,St David Unified District,4762,St David High School,Cochise,Military Cohort,*,*,*
2022,4 Year,4173,St David Unified District,4762,St David High School,Cochise,Multiple Races,*,*,*
2022,4 Year,4173,St David Unified District,4762,St David High School,Cochise,Native Hawaiian or Pacific Islander,*,*,*
2022,4 Year,4173,St David Unified District,4762,St David High School,Cochise,Special Education,*,*,*
2022,4 Year,4173,St David Unified District,4762,St David High School,Cochise,White,*,*,*
2022,4 Year,4174,Douglas Unified District,4773,Douglas High School,Cochise,All,296,386,76.7
2022,4 Year,4174,Douglas Unified District,4773,Douglas High School,Cochise,American Indian or Alaska Native,*,*,*
2022,4 Year,4174,Douglas Unified District,4773,Douglas High School,Cochise,Asian,*,*,50
2022,4 Year,4174,Douglas Unified District,4773,Douglas High School,Cochise,Black/African American,*,*,*
2022,4 Year,4174,Douglas Unified District,4773,Douglas High School,Cochise,EL Cohort,*,*,52.6
2022,4 Year,4174,Douglas Unified District,4773,Douglas High School,Cochise,Female,158,191,82.7
2022,4 Year,4174,Douglas Unified District,4773,Douglas High School,Cochise,Foster Care Cohort,*,*,*
2022,4 Year,4174,Douglas Unified District,4773,Douglas High School,Cochise,Hispanic or Latino,285,361,79
2022,4 Year,4174,Douglas Unified District,4773,Douglas High School,Cochise,Homeless Cohort,*,*,33.3
2022,4 Year,4174,Douglas Unified District,4773,Douglas High School,Cochise,Income Eligibility 1 and 2,170,227,74.9
2022,4 Year,4174,Douglas Unified District,4773,Douglas High School,Cochise,Male,138,195,70.8
2022,4 Year,4174,Douglas Unified District,4773,Douglas High School,Cochise,Migrant Cohort,*,*,57.1
2022,4 Year,4174,Douglas Unified District,4773,Douglas High School,Cochise,Military Cohort,*,*,*
2022,4 Year,4174,Douglas Unified District,4773,Douglas High School,Cochise,Special Education,*,*,66.7
2022,4 Year,4174,Douglas Unified District,4773,Douglas High School,Cochise,White,*,*,66.7
2022,4 Year,4175,Sierra Vista Unified District,4783,Buena High School,Cochise,All,392,425,92.2
2022,4 Year,4175,Sierra Vista Unified District,4783,Buena High School,Cochise,American Indian or Alaska Native,*,*,*
2022,4 Year,4175,Sierra Vista Unified District,4783,Buena High School,Cochise,Asian,*,*,93.8
2022,4 Year,4175,Sierra Vista Unified District,4783,Buena High School,Cochise,Black/African American,*,*,90
2022,4 Year,4175,Sierra Vista Unified District,4783,Buena High School,Cochise,EL Cohort,*,*,80
2022,4 Year,4175,Sierra Vista Unified District,4783,Buena High School,Cochise,Female,198,213,93
2022,4 Year,4175,Sierra Vista Unified District,4783,Buena High School,Cochise,Foster Care Cohort,*,*,*
2022,4 Year,4175,Sierra Vista Unified District,4783,Buena High School,Cochise,Hispanic or Latino,*,*,95.1
2022,4 Year,4175,Sierra Vista Unified District,4783,Buena High School,Cochise,Homeless Cohort,*,*,*
2022,4 Year,4175,Sierra Vista Unified District,4783,Buena High School,Cochise,Income Eligibility 1 and 2,*,*,88
2022,4 Year,4175,Sierra Vista Unified District,4783,Buena High School,Cochise,Male,194,212,91.5
2022,4 Year,4175,Sierra Vista Unified District,4783,Buena High School,Cochise,Migrant Cohort,*,*,*
2022,4 Year,4175,Sierra Vista Unified District,4783,Buena High School,Cochise,Military Cohort,*,*,88.2
2022,4 Year,4175,Sierra Vista Unified District,4783,Buena High School,Cochise,Multiple Races,*,*,85.7
2022,4 Year,4175,Sierra Vista Unified District,4783,Buena High School,Cochise,Native Hawaiian or Pacific Islander,*,*,*
